Task,Resource,Start,Duration,Finish,Completion_pct,Trustee_Zone,Category,Notes
Planning & Preparation,Project Manager,2025-02-27,2,2025-03-01,100,0,Planning,
Data Closet Assessment,Project Manager,2025-02-28,3,2025-03-03,80,0,Planning,
Team Assignments,Project Manager,2025-03-01,1,2025-03-02,100,0,Planning,
A. Lorne Cassidy: Delivery,Delivery Team,2023-03-29,1,2023-03-30,100,1,Delivery,
A. Lorne Cassidy: Installation,Installation Team,2023-03-30,1,2023-03-31,100,1,Installation,
Adrianne Clarkson: Delivery,Delivery Team,2023-04-25,1,2023-04-26,100,7,Delivery,
Adrianne Clarkson: Installation,Installation Team,2023-04-26,1,2023-04-27,100,7,Installation,
Agincourt PS: Delivery,Delivery Team,2023-08-07,1,2023-08-08,100,5,Delivery,
Agincourt PS: Installation,Installation Team,2023-08-08,1,2023-08-09,100,5,Installation,
AltaVista PS: Delivery,Delivery Team,2023-05-02,1,2023-05-03,100,6,Delivery,
AltaVista PS: Installation,Installation Team,2023-05-03,1,2023-05-04,100,6,Installation,
Arch St. PS: Delivery,Delivery Team,2023-05-02,1,2023-05-03,100,6,Delivery,
Arch St. PS: Installation,Installation Team,2023-05-03,1,2023-05-04,100,6,Installation,
Avalon PS: Delivery,Delivery Team,2023-06-05,1,2023-06-06,100,8,Delivery,
Avalon PS: Installation,Installation Team,2023-06-06,1,2023-06-07,100,8,Installation,
Bayshore PS: Delivery,Delivery Team,2023-06-18,1,2023-06-19,100,4,Delivery,
Bayshore PS: Installation,Installation Team,2023-06-19,1,2023-06-20,100,4,Installation,
Bayview PS: Delivery,Delivery Team,2023-06-07,1,2023-06-08,100,11,Delivery,
Bayview PS: Installation,Installation Team,2023-06-08,1,2023-06-09,100,11,Installation,
Bells Corners PS: Delivery,Delivery Team,2023-02-02,1,2023-02-03,100,5,Delivery,
Bells Corners PS: Installation,Installation Team,2023-02-03,1,2023-02-04,100,5,Installation,
Berrigan PS: Delivery,Delivery Team,2023-07-24,1,2023-07-25,100,3,Delivery,
Berrigan PS: Installation,Installation Team,2023-07-25,1,2023-07-26,100,3,Installation,
Blossom Park PS: Delivery,Delivery Team,2023-08-01,1,2023-08-02,100,11,Delivery,
Blossom Park PS: Installation,Installation Team,2023-08-02,1,2023-08-03,100,11,Installation,
Briargreen PS: Delivery,Delivery Team,2023-08-07,1,2023-08-08,100,3,Delivery,
